camera_orientation,timestamp,num_rois,roi_detected_points,roi_threshold_used,roi_kl_divergence,roi_is_valid
left,25.52,3,2,23,0.0,1
left,25.556,3,2,23,0.0,1
left,25.556,3,3,23,0.0,1
left,25.556,3,2,23,0.0,1
left,25.588,3,1,23,0.0,1
left,25.588,3,2,23,0.0,1
left,25.588,3,1,23,0.0,1
left,25.608,3,1,23,0.0,1
left,25.608,3,1,23,0.0,1
left,25.608,3,1,23,0.0,1
left,25.62,3,2,23,0.0,1
left,25.62,3,3,23,0.0,1
left,25.62,3,2,23,0.0,1
left,25.672,3,2,23,0.0,1
left,25.672,3,3,23,0.0,1
left,25.672,3,2,23,0.0,1
left,25.68,3,2,23,0.0,1
left,25.68,3,2,23,0.0,1
left,25.68,3,1,23,0.0,1
left,25.688,3,0,0,0.0,1
left,25.688,3,1,23,0.0,1
left,25.688,3,1,23,0.0,1
left,25.708,3,2,23,0.0,1
left,25.708,3,3,23,0.0,1
left,25.708,3,2,23,0.0,1
left,25.72,3,1,23,0.0,1
left,25.72,3,1,23,0.0,1
left,25.72,3,0,0,0.0,1
left,25.736,3,1,23,0.0,1
left,25.736,3,2,23,0.0,1
left,25.736,3,2,23,0.0,1
left,25.752,3,2,23,0.0,1
left,25.752,3,3,23,0.0,1
left,25.752,3,2,23,0.0,1
left,25.804,3,2,23,0.0,1
left,25.804,3,3,23,0.0,1
left,25.804,3,2,23,0.0,1
left,25.852,3,2,23,0.0,1
left,25.852,3,3,23,0.0,1
left,25.852,3,2,23,0.0,1
left,25.888,3,1,23,0.0,1
left,25.888,3,2,23,0.0,1
left,25.888,3,1,23,0.0,1
left,25.904,3,1,23,0.0,1
left,25.904,3,1,23,0.0,1
left,25.904,3,1,23,0.0,1
left,25.92,3,2,23,0.0,1
left,25.92,3,3,23,0.0,1
left,25.92,3,2,23,0.0,1
left,25.968,3,2,23,0.0,1
left,25.968,3,3,23,0.0,1
left,25.968,3,2,23,0.0,1
left,25.976,3,2,23,0.0,1
left,25.976,3,2,23,0.0,1
left,25.976,3,1,23,0.0,1
left,25.988,3,0,0,0.0,1
left,25.988,3,1,23,0.0,1
left,25.988,3,1,23,0.0,1
left,26.004,3,2,23,0.0,1
left,26.004,3,3,23,0.0,1
left,26.004,3,2,23,0.0,1
left,26.024,3,1,23,0.0,1
left,26.024,3,1,23,0.0,1
left,26.024,3,0,0,0.0,1
left,26.044,3,1,23,0.0,1
left,26.044,3,2,23,0.0,1
left,26.044,3,2,23,0.0,1
left,26.064,3,2,23,0.0,1
left,26.064,3,3,23,0.0,1
left,26.064,3,2,23,0.0,1
left,26.104,3,2,23,0.0,1
left,26.104,3,3,23,0.0,1
left,26.104,3,2,23,0.0,1
left,26.152,3,2,23,0.0,1
left,26.152,3,3,23,0.0,1
left,26.152,3,2,23,0.0,1
left,26.188,3,1,23,0.0,1
left,26.188,3,2,23,0.0,1
left,26.188,3,1,23,0.0,1
left,26.208,3,1,23,0.0,1
left,26.208,3,1,23,0.0,1
left,26.208,3,1,23,0.0,1
left,26.22,3,2,23,0.0,1
left,26.22,3,3,23,0.0,1
left,26.22,3,2,23,0.0,1
left,26.252,3,2,23,0.0,1
left,26.252,3,3,23,0.0,1
left,26.252,3,2,23,0.0,1
left,26.272,3,2,23,0.0,1
left,26.272,3,2,23,0.0,1
left,26.272,3,1,23,0.0,1
left,26.288,3,0,0,0.0,1
left,26.288,3,1,23,0.0,1
left,26.288,3,1,23,0.0,1
left,26.312,3,2,23,0.0,1
left,26.312,3,3,23,0.0,1
left,26.312,3,2,23,0.0,1
left,26.324,3,1,23,0.0,1
left,26.324,3,1,23,0.0,1
left,26.324,3,0,0,0.0,1
left,26.336,3,1,23,0.0,1
left,26.336,3,2,23,0.0,1
left,26.336,3,2,23,0.0,1
left,26.36,3,2,23,0.0,1
left,26.36,3,3,23,0.0,1
left,26.36,3,2,23,0.0,1
left,26.408,3,2,23,0.0,1
left,26.408,3,3,23,0.0,1
left,26.408,3,2,23,0.0,1
left,26.452,3,2,23,0.0,1
left,26.452,3,3,23,0.0,1
left,26.452,3,2,23,0.0,1
left,26.488,3,1,23,0.0,1
left,26.488,3,2,23,0.0,1
left,26.488,3,1,23,0.0,1
left,26.508,3,1,23,0.0,1
left,26.508,3,1,23,0.0,1
left,26.508,3,1,23,0.0,1
left,26.524,3,2,23,0.0,1
left,26.524,3,3,23,0.0,1
left,26.524,3,2,23,0.0,1
left,26.56,3,2,23,0.0,1
left,26.56,3,3,23,0.0,1
left,26.56,3,2,23,0.0,1
left,26.576,3,2,23,0.0,1
left,26.576,3,2,23,0.0,1
left,26.576,3,1,23,0.0,1
left,26.592,3,0,0,0.0,1
left,26.592,3,1,23,0.0,1
left,26.592,3,1,23,0.0,1
left,26.604,3,2,23,0.0,1
left,26.604,3,3,23,0.0,1
left,26.604,3,2,23,0.0,1
left,26.624,3,1,23,0.0,1
left,26.624,3,1,23,0.0,1
left,26.624,3,0,0,0.0,1
left,26.64,3,1,23,0.0,1
left,26.64,3,2,23,0.0,1
left,26.64,3,2,23,0.0,1
left,26.656,3,2,23,0.0,1
left,26.656,3,3,23,0.0,1
left,26.656,3,2,23,0.0,1
left,26.708,3,2,23,0.0,1
left,26.708,3,3,23,0.0,1
left,26.708,3,2,23,0.0,1
left,26.752,3,2,23,0.0,1
left,26.752,3,3,23,0.0,1
left,26.752,3,2,23,0.0,1
left,26.792,3,1,23,0.0,1
left,26.792,3,2,23,0.0,1
left,26.792,3,1,23,0.0,1
left,26.804,3,1,23,0.0,1
left,26.804,3,1,23,0.0,1
left,26.804,3,1,23,0.0,1
left,26.824,3,2,23,0.0,1
left,26.824,3,3,23,0.0,1
left,26.824,3,2,23,0.0,1
left,26.852,3,2,23,0.0,1
left,26.852,3,3,23,0.0,1
left,26.852,3,2,23,0.0,1
left,26.872,3,2,23,0.0,1
left,26.872,3,2,23,0.0,1
left,26.872,3,1,23,0.0,1
left,26.888,3,0,0,0.0,1
left,26.888,3,1,23,0.0,1
left,26.888,3,1,23,0.0,1
left,26.912,3,2,23,0.0,1
left,26.912,3,3,23,0.0,1
left,26.912,3,2,23,0.0,1
left,26.924,3,1,23,0.0,1
left,26.924,3,1,23,0.0,1
left,26.924,3,0,0,0.0,1
left,26.94,3,1,23,0.0,1
left,26.94,3,2,23,0.0,1
left,26.94,3,2,23,0.0,1
left,26.956,3,2,23,0.0,1
left,26.956,3,3,23,0.0,1
left,26.956,3,2,23,0.0,1
left,27.008,3,2,23,0.0,1
left,27.008,3,3,23,0.0,1
left,27.008,3,2,23,0.0,1
left,27.052,3,2,23,0.0,1
left,27.052,3,3,23,0.0,1
left,27.052,3,2,23,0.0,1
left,27.088,3,1,23,0.0,1
left,27.088,3,2,23,0.0,1
left,27.088,3,1,23,0.0,1
left,27.104,3,1,23,0.0,1
left,27.104,3,1,23,0.0,1
left,27.104,3,1,23,0.0,1
left,27.124,3,2,23,0.0,1
left,27.124,3,3,23,0.0,1
left,27.124,3,2,23,0.0,1
left,27.16,3,2,23,0.0,1
left,27.16,3,3,23,0.0,1
left,27.16,3,2,23,0.0,1
left,27.172,3,2,23,0.0,1
left,27.172,3,2,23,0.0,1
left,27.172,3,1,23,0.0,1
left,27.188,3,0,0,0.0,1
left,27.188,3,1,23,0.0,1
left,27.188,3,1,23,0.0,1
left,27.204,3,2,23,0.0,1
left,27.204,3,3,23,0.0,1
left,27.204,3,2,23,0.0,1
left,27.22,3,1,23,0.0,1
left,27.22,3,1,23,0.0,1
left,27.22,3,0,0,0.0,1
left,27.236,3,1,23,0.0,1
left,27.236,3,2,23,0.0,1
left,27.236,3,2,23,0.0,1
left,27.252,3,2,23,0.0,1
left,27.252,3,3,23,0.0,1
left,27.252,3,2,23,0.0,1
left,27.308,3,2,23,0.0,1
left,27.308,3,3,23,0.0,1
left,27.308,3,2,23,0.0,1
left,27.352,3,2,23,0.0,1
left,27.352,3,3,23,0.0,1
left,27.352,3,2,23,0.0,1
left,27.388,3,1,23,0.0,1
left,27.388,3,2,23,0.0,1
left,27.388,3,1,23,0.0,1
left,27.404,3,1,23,0.0,1
left,27.404,3,1,23,0.0,1
left,27.404,3,1,23,0.0,1
left,27.424,3,2,23,0.0,1
left,27.424,3,3,23,0.0,1
left,27.424,3,2,23,0.0,1
left,27.456,3,2,23,0.0,1
left,27.456,3,3,23,0.0,1
left,27.456,3,2,23,0.0,1
left,27.472,3,2,23,0.0,1
left,27.472,3,2,23,0.0,1
left,27.472,3,1,23,0.0,1
left,27.488,3,0,0,0.0,1
left,27.488,3,1,23,0.0,1
left,27.488,3,1,23,0.0,1
left,27.508,3,2,23,0.0,1
left,27.508,3,3,23,0.0,1
left,27.508,3,2,23,0.0,1
left,27.52,3,1,23,0.0,1
left,27.52,3,1,23,0.0,1
left,27.52,3,0,0,0.0,1
left,27.54,3,1,23,0.0,1
left,27.54,3,2,23,0.0,1
left,27.54,3,2,23,0.0,1
